Prscrbr_NPI,Physician_Name,Specialty,City,State,Sales_Rep,Sales_Rep_Name,Territory,HCP_Tier,Target_Calls,Actual_Calls,Samples_Dropped
1001000202,Dr. Sharon Hill,Palliative Care,Columbus,OH,REP-H307,Heather Kensington,TERR-H03,2,7,4,3
1001000203,Dr. Jessica Clark,Internal Medicine,Las Vegas,NV,REP-H166,Holly Hayes,TERR-H06,1,9,3,1
1001000204,Dr. Patricia Clark,Neurology,Portland,OR,REP-H288,Harvey Gallagher,TERR-H08,2,14,10,0
1001000205,Dr. Jessica Nelson,Palliative Care,Atlanta,GA,REP-H287,Heather Gallagher,TERR-H07,2,15,7,5
1001000206,Dr. James Mitchell,Pain Management,Miami,FL,REP-H228,Harvey Sinclair,TERR-H08,2,13,11,9
1001000207,Dr. Sarah Allen,Family Practice,Boston,MA,REP-H239,Holden Sinclair,TERR-H07,3,3,2,2
1001000208,Dr. Donna Hernandez,Neurology,Los Angeles,CA,REP-H245,Henry Conway,TERR-H01,3,2,1,0
1001000209,Dr. Stephanie Jones,Pain Management,Phoenix,AZ,REP-H148,Harvey Sterling,TERR-H12,2,11,8,4
1001000210,Dr. Stephanie King,Anesthesiology,Phoenix,AZ,REP-H160,Hattie Sterling,TERR-H12,2,6,4,3
1001000211,Dr. Jessica Taylor,Orthopedics,Phoenix,AZ,REP-H299,Holden Gallagher,TERR-H07,3,5,3,1
1001000212,Dr. Amanda Gonzalez,Anesthesiology,Los Angeles,CA,REP-H283,Howard Gallagher,TERR-H03,2,10,9,7
1001000213,Dr. Melissa Anderson,Anesthesiology,Detroit,MI,REP-H342,Harold Blackwood,TERR-H02,2,7,6,5
1001000214,Dr. Elizabeth Nguyen,Palliative Care,Miami,FL,REP-H366,Holly Whitman,TERR-H02,2,13,7,7
1001000215,Dr. Sarah Jones,Family Practice,Baltimore,MD,REP-H156,Hayden Sterling,TERR-H08,2,6,5,1
1001000216,Dr. Carol Martin,Neurology,Detroit,MI,REP-H302,Harold Kensington,TERR-H10,2,9,6,0
1001000217,Dr. Linda Hill,Palliative Care,New York,NY,REP-H219,Holden Bishop,TERR-H11,1,14,11,11
1001000218,Dr. Michelle Campbell,Pain Management,Boston,MA,REP-H220,Hattie Bishop,TERR-H12,2,8,6,0
1001000219,Dr. Michael Lopez,Pain Management,Jacksonville,FL,REP-H378,Hilda Whitman,TERR-H02,2,8,6,2
1001000220,Dr. Melissa Lee,Neurology,Las Vegas,NV,REP-H236,Hayden Sinclair,TERR-H04,2,5,3,0
1001000221,Dr. Richard Green,Anesthesiology,Seattle,WA,REP-H144,Hannah Sterling,TERR-H08,2,16,12,4
1001000222,Dr. Carol Green,Internal Medicine,Atlanta,GA,REP-H349,Harrison Blackwood,TERR-H09,2,10,8,9
1001000223,Dr. David Lee,Anesthesiology,Denver,CO,REP-H360,Hattie Blackwood,TERR-H08,2,6,3,0
1001000224,Dr. Barbara Nelson,Internal Medicine,Baltimore,MD,REP-H137,Hunter Finch,TERR-H01,2,6,5,5
1001000225,Dr. Richard Nelson,Anesthesiology,Baltimore,MD,REP-H370,Hope Whitman,TERR-H06,1,16,11,1
