Prscrbr_NPI,Physician_Name,Specialty,City,State,Brand_Name,Sales_Rep,Sales_Rep_Name,Territory,HCP_Tier,CMS_Volume_Decile,Target_Calls,Actual_Calls,Samples_Dropped,Tot_Clms,Tot_30day_Fills,Tot_Drug_Cst,Rx_Lift_Pct,Delta_Log_Fills,Post_Campaign_Fills,dataset_mode
2001000011,Dr. Margaret Robinson,Oncology,Seattle,WA,Subsys,REP-S795,Stephen Gomez,TERR-S01,3,4,5,4,1,15,10.3047,14581.23,5.7735,0.05129,10.8996,synthetic
2001000012,Dr. Patricia Gonzalez,Pain Management,Baltimore,MD,Lazanda,REP-S609,Seth O'Connor,TERR-S11,3,5,2,2,3,23,13.5199,16480.39,5.5608,0.050482,14.2717,synthetic
2001000013,Dr. Sarah Brown,Oncology,Nashville,TN,Subsys,REP-S688,Serena Larsson,TERR-S06,3,6,3,2,3,35,15.2527,20270.03,5.1122,0.046861,16.0324,synthetic
2001000014,Dr. Nancy Brown,Emergency Medicine,Philadelphia,PA,Lazanda,REP-S825,Simon Alvarez,TERR-S03,3,8,2,2,3,26,22.5775,21332.04,1.3877,0.013201,22.8908,synthetic
2001000015,Dr. Carol Scott,Oncology,New York,NY,Fentora,REP-S775,Stephen Muller,TERR-S09,3,4,2,2,1,20,11.5763,15913.34,7.3103,0.065123,12.4225,synthetic
2001000016,Dr. Deborah Moore,Anesthesiology,Phoenix,AZ,Fentora,REP-S788,Serena Gomez,TERR-S08,3,4,4,2,2,13,10.7566,14619.73,4.0432,0.036325,11.1916,synthetic
2001000017,Dr. Margaret Jackson,Pain Management,Portland,OR,Subsys,REP-S541,Samuel Chen,TERR-S13,1,8,11,10,6,20,23.6223,38361.74,11.8136,0.107363,26.4129,synthetic
2001000018,Dr. Margaret Thompson,Palliative Care,Las Vegas,NV,Subsys,REP-S530,Sadie Patel,TERR-S02,2,5,7,6,7,27,12.8179,27742.78,10.5097,0.093027,14.165,synthetic
2001000019,Dr. Michelle Rodriguez,Orthopedics,Miami,FL,Fentora,REP-S662,Sophia Kowalski,TERR-S08,3,7,5,4,3,21,18.1641,31348.93,4.8144,0.044622,19.0386,synthetic
2001000020,Dr. Susan Rodriguez,Pain Management,Nashville,TN,Subsys,REP-S668,Serena Kowalski,TERR-S14,1,3,10,7,1,19,8.5564,21487.4,3.9243,0.034533,8.8922,synthetic
2001000021,Dr. William Adams,Pain Management,Seattle,WA,Fentora,REP-S718,Summer Rossi,TERR-S08,3,6,4,2,0,15,17.4398,32757.67,2.6966,0.025184,17.9101,synthetic
2001000022,Dr. Kimberly Mitchell,Internal Medicine,Las Vegas,NV,Abstral,REP-S577,Stanley Kapoor,TERR-S07,3,4,4,2,1,18,9.4163,13161.15,3.3125,0.029505,9.7282,synthetic
2001000023,Dr. Sarah Davis,Pain Management,Las Vegas,NV,Subsys,REP-S765,Simon Muller,TERR-S13,2,4,6,3,0,19,11.9311,12297.47,2.133,0.019489,12.1856,synthetic
2001000024,Dr. Joseph Sanchez,Pain Management,Miami,FL,Abstral,REP-S719,Solomon Rossi,TERR-S09,3,5,4,3,0,14,14.8208,22910.48,3.1563,0.029139,15.2886,synthetic
2001000025,Dr. Rebecca Carter,Pain Management,Austin,TX,Abstral,REP-S680,Sloan Kowalski,TERR-S12,2,8,5,5,0,21,21.7248,20839.02,6.351,0.058944,23.1046,synthetic
2001000026,Dr. Emily Scott,Palliative Care,Philadelphia,PA,Abstral,REP-S532,Sienna Patel,TERR-S04,2,3,7,5,4,11,8.8583,17403.26,8.1083,0.070326,9.5765,synthetic
2001000027,Dr. Jessica Torres,Oncology,Boston,MA,Actiq,REP-S611,Silas O'Connor,TERR-S13,2,7,9,6,4,12,19.9437,36743.97,8.9125,0.08146,21.7212,synthetic
2001000028,Dr. Michael Lee,Anesthesiology,Baltimore,MD,Actiq,REP-S653,Spencer Dubois,TERR-S13,2,4,6,4,5,23,11.6292,17904.75,7.7011,0.068512,12.5248,synthetic
2001000029,Dr. Susan Baker,Palliative Care,New York,NY,Abstral,REP-S731,Silas Santos,TERR-S07,2,6,7,5,3,6,17.6099,29459.93,4.4246,0.041016,18.3891,synthetic
2001000030,Dr. Stephanie Wright,Anesthesiology,Atlanta,GA,Subsys,REP-S555,Stephen Chen,TERR-S13,2,5,9,6,2,24,13.0706,30217.03,3.8032,0.034719,13.5677,synthetic
2001000031,Dr. Betty Perez,Oncology,Columbus,OH,Actiq,REP-S754,Selena Tanaka,TERR-S02,2,4,9,8,4,12,10.7396,9694.67,8.5006,0.074889,11.6525,synthetic
2001000032,Dr. Mary Lewis,Internal Medicine,Columbus,OH,Fentora,REP-S590,Sadie Nakamura,TERR-S06,3,3,3,3,3,20,7.9835,12753.09,4.6255,0.040284,8.3528,synthetic
2001000033,Dr. Jessica Flores,Oncology,Las Vegas,NV,Lazanda,REP-S822,Sophia Alvarez,TERR-S14,2,5,6,2,2,18,14.0817,33867.57,4.649,0.042492,14.7363,synthetic
2001000034,Dr. John Jackson,Oncology,Miami,FL,Actiq,REP-S563,Sean Kapoor,TERR-S07,2,6,8,4,4,32,17.2525,30977.23,4.8724,0.045026,18.0931,synthetic
2001000035,Dr. Emily Johnson,Oncology,Chicago,IL,Abstral,REP-S542,Sophia Chen,TERR-S14,2,8,9,6,3,18,22.6711,39161.39,4.2341,0.039751,23.631,synthetic
2001000036,Dr. Michael Adams,Pain Management,Baltimore,MD,Fentora,REP-S733,Spencer Santos,TERR-S09,3,4,3,2,0,23,10.0882,17392.11,1.8408,0.016609,10.2739,synthetic
2001000037,Dr. Mary Williams,Orthopedics,Las Vegas,NV,Abstral,REP-S768,Serena Muller,TERR-S02,3,7,4,3,0,15,18.9852,47661.44,1.4719,0.013885,19.2646,synthetic
2001000038,Dr. Sharon White,Anesthesiology,Boston,MA,Actiq,REP-S561,Samuel Kapoor,TERR-S05,3,3,3,2,2,19,8.9155,8135.42,4.4754,0.039452,9.3145,synthetic
2001000039,Dr. Kimberly Davis,Oncology,Baltimore,MD,Subsys,REP-S772,Sienna Muller,TERR-S06,2,10,5,3,4,6,29.2293,36331.98,5.6214,0.052929,30.8725,synthetic
2001000040,Dr. Robert Robinson,Oncology,New York,NY,Actiq,REP-S597,Stanley Nakamura,TERR-S13,1,2,14,5,4,9,4.5932,7850.88,7.7698,0.061853,4.9501,synthetic
2001000041,Dr. Kimberly Gonzalez,Palliative Care,New York,NY,Abstral,REP-S600,Sloan Nakamura,TERR-S02,2,10,9,8,2,16,29.9398,75329.73,6.8496,0.064178,31.9905,synthetic
2001000042,Dr. Linda Perez,Emergency Medicine,Austin,TX,Abstral,REP-S508,Serena Brooks,TERR-S08,3,5,4,3,0,27,14.8212,37785.82,0.4941,0.004618,14.8944,synthetic
2001000043,Dr. Joseph Jones,Oncology,Boston,MA,Subsys,REP-S691,Silas Larsson,TERR-S09,3,8,3,1,2,14,22.4924,27327.72,4.4122,0.041376,23.4848,synthetic
2001000044,Dr. William Thomas,Oncology,Detroit,MI,Lazanda,REP-S781,Samuel Gomez,TERR-S01,2,4,9,6,1,20,11.7382,20806.51,5.4749,0.04922,12.3809,synthetic
2001000045,Dr. Nancy Nguyen,Pain Management,Denver,CO,Fentora,REP-S767,Scott Muller,TERR-S01,2,10,9,6,3,10,35.7044,32549.91,5.9584,0.056343,37.8318,synthetic
2001000046,Dr. Sharon Green,Pain Management,Seattle,WA,Subsys,REP-S519,Solomon Brooks,TERR-S05,3,10,4,3,3,22,31.0337,75821.67,6.9085,0.064784,33.1777,synthetic
2001000047,Dr. Kathleen Thompson,Pain Management,Los Angeles,CA,Abstral,REP-S695,Stephen Larsson,TERR-S13,1,5,13,10,8,16,14.3873,31673.33,9.3979,0.084223,15.7394,synthetic
2001000048,Dr. Karen Walker,Pain Management,Detroit,MI,Abstral,REP-S674,Selena Kowalski,TERR-S06,3,3,5,4,1,16,8.7394,18306.69,7.9294,0.068735,9.4324,synthetic
2001000049,Dr. Betty Wilson,Pain Management,Columbus,OH,Actiq,REP-S503,Sean Brooks,TERR-S03,1,5,9,6,7,16,12.1759,17698.31,6.3411,0.056946,12.948,synthetic
2001000050,Dr. Robert Allen,Pain Management,Philadelphia,PA,Subsys,REP-S528,Serena Patel,TERR-S14,1,6,14,12,9,23,17.8663,33786.54,12.989,0.116008,20.1869,synthetic
2001000051,Dr. John Anderson,Palliative Care,Baltimore,MD,Abstral,REP-S739,Solomon Santos,TERR-S01,2,9,9,6,3,25,24.6322,63407.69,7.6014,0.070503,26.5045,synthetic
2001000052,Dr. Linda Rivera,Pain Management,Jacksonville,FL,Abstral,REP-S666,Stella Kowalski,TERR-S12,1,5,10,7,0,15,13.5085,28642.43,4.4939,0.04099,14.1156,synthetic
2001000053,Dr. Sharon Nguyen,Pain Management,Columbus,OH,Subsys,REP-S549,Seth Chen,TERR-S07,1,4,12,7,5,17,11.8047,13778.11,8.428,0.074827,12.7996,synthetic
2001000054,Dr. Laura Campbell,Internal Medicine,Miami,FL,Subsys,REP-S537,Stanley Patel,TERR-S09,3,8,3,3,2,22,21.8676,22171.34,2.7095,0.02558,22.4601,synthetic
2001000055,Dr. Deborah Brown,Oncology,Austin,TX,Abstral,REP-S687,Scott Larsson,TERR-S05,3,3,3,2,2,10,8.3652,20557.79,3.9321,0.034519,8.6941,synthetic
2001000056,Dr. Elizabeth Adams,Oncology,Philadelphia,PA,Subsys,REP-S641,Samuel Dubois,TERR-S01,2,4,8,7,0,21,10.4152,11495.4,5.4788,0.048779,10.9859,synthetic
2001000057,Dr. Sandra Jones,Emergency Medicine,Denver,CO,Abstral,REP-S520,Sloan Brooks,TERR-S06,3,4,5,2,1,18,10.9365,23805.6,2.5694,0.023269,11.2175,synthetic
2001000058,Dr. Ashley Green,Palliative Care,Jacksonville,FL,Subsys,REP-S551,Silas Chen,TERR-S09,3,9,4,3,1,19,24.5622,40859.01,5.3827,0.050428,25.8844,synthetic
2001000059,Dr. Barbara Hernandez,Palliative Care,Philadelphia,PA,Abstral,REP-S800,Sloan Gomez,TERR-S06,3,7,4,4,0,14,18.3483,37075.0,4.195,0.039011,19.118,synthetic
2001000060,Dr. William Green,Neurology,Columbus,OH,Abstral,REP-S780,Sloan Muller,TERR-S14,3,5,3,2,2,17,14.2575,36848.29,4.1434,0.037988,14.8482,synthetic
2001000061,Dr. Kathleen Ramirez,Palliative Care,Austin,TX,Subsys,REP-S689,Seth Larsson,TERR-S07,2,6,8,5,4,17,17.6281,43947.5,5.1478,0.047565,18.5356,synthetic
2001000062,Dr. Joseph White,Palliative Care,Chicago,IL,Actiq,REP-S799,Solomon Gomez,TERR-S05,3,5,3,2,2,18,12.6943,16064.24,3.6866,0.033603,13.1623,synthetic
2001000063,Dr. Sarah King,Pain Management,Philadelphia,PA,Fentora,REP-S710,Sadie Rossi,TERR-S14,1,10,10,7,5,16,32.6123,69090.69,9.4335,0.087579,35.6887,synthetic
2001000064,Dr. Mary Rivera,Oncology,New York,NY,Abstral,REP-S571,Silas Kapoor,TERR-S01,2,9,8,6,2,20,26.3162,33089.25,4.662,0.043934,27.543,synthetic
2001000065,Dr. Emily King,Family Practice,Houston,TX,Actiq,REP-S661,Samuel Kowalski,TERR-S07,3,5,3,1,0,17,13.8557,28395.15,2.2534,0.020799,14.1679,synthetic
2001000066,Dr. Dorothy Harris,Emergency Medicine,New York,NY,Subsys,REP-S540,Sloan Patel,TERR-S12,3,5,3,2,3,13,12.1809,20016.99,4.6279,0.041879,12.7446,synthetic
2001000067,Dr. Jessica Nguyen,Anesthesiology,Nashville,TN,Abstral,REP-S681,Samuel Larsson,TERR-S13,2,3,9,6,5,27,8.804,8723.54,8.3554,0.07235,9.5396,synthetic
2001000068,Dr. Rebecca Taylor,Palliative Care,Chicago,IL,Subsys,REP-S670,Sadie Kowalski,TERR-S02,2,9,6,3,2,14,26.6774,57629.76,6.69,0.062489,28.4621,synthetic
2001000069,Dr. Charles Flores,Internal Medicine,Portland,OR,Subsys,REP-S507,Scott Brooks,TERR-S07,3,5,5,4,3,14,12.0364,16990.77,5.4839,0.049392,12.6965,synthetic
2001000070,Dr. Betty Nelson,Pain Management,Austin,TX,Fentora,REP-S509,Seth Brooks,TERR-S09,2,3,5,3,4,30,6.5885,7773.49,6.4434,0.054434,7.013,synthetic
2001000071,Dr. Dorothy Baker,Internal Medicine,Miami,FL,Subsys,REP-S615,Stephen O'Connor,TERR-S03,3,5,4,3,1,15,12.9898,24447.61,2.2496,0.020673,13.282,synthetic
2001000072,Dr. Sharon Jones,Psychiatry,Phoenix,AZ,Actiq,REP-S502,Sophia Brooks,TERR-S02,3,5,5,4,3,24,12.223,22559.06,6.1228,0.055054,12.9713,synthetic
2001000073,Dr. Kimberly Hall,Palliative Care,Houston,TX,Fentora,REP-S589,Seth Nakamura,TERR-S05,2,2,9,7,5,11,3.0529,4491.67,7.9887,0.058434,3.2967,synthetic
2001000074,Dr. Richard Lopez,Internal Medicine,Boston,MA,Subsys,REP-S543,Sean Chen,TERR-S01,3,5,5,4,1,23,12.6819,24812.22,5.4596,0.049366,13.3743,synthetic
2001000075,Dr. Lisa Hall,Palliative Care,Boston,MA,Abstral,REP-S750,Sadie Tanaka,TERR-S12,1,10,13,10,5,25,41.1522,89330.68,8.761,0.082069,44.7575,synthetic
2001000076,Dr. Linda Anderson,Oncology,Portland,OR,Lazanda,REP-S618,Summer O'Connor,TERR-S06,3,3,3,2,2,20,7.9665,20392.14,4.6982,0.040895,8.3408,synthetic
2001000077,Dr. Ashley Jackson,Palliative Care,New York,NY,Subsys,REP-S765,Simon Muller,TERR-S13,2,7,5,3,4,22,18.3474,26521.16,4.9304,0.045695,19.252,synthetic
2001000078,Dr. Charles Moore,Family Practice,Boston,MA,Actiq,REP-S634,Selena Novak,TERR-S08,3,7,3,2,3,40,19.0345,16302.01,0.6408,0.006069,19.1564,synthetic
2001000079,Dr. Deborah Campbell,Oncology,Austin,TX,Subsys,REP-S518,Summer Brooks,TERR-S04,2,6,7,3,3,21,15.3583,23016.9,10.5125,0.094127,16.9728,synthetic
2001000080,Dr. David Perez,Neurology,Austin,TX,Abstral,REP-S512,Sienna Brooks,TERR-S12,2,8,5,3,2,10,22.0881,43798.11,3.7267,0.035032,22.9112,synthetic
2001000081,Dr. David Ramirez,Neurology,Miami,FL,Actiq,REP-S575,Stephen Kapoor,TERR-S05,3,7,3,2,1,28,18.3936,21702.65,4.8151,0.044656,19.2793,synthetic
2001000082,Dr. Sandra Scott,Internal Medicine,Phoenix,AZ,Abstral,REP-S664,Sarah Kowalski,TERR-S10,3,7,5,3,0,15,18.0362,31860.69,0.4701,0.004444,18.121,synthetic
2001000083,Dr. John Nguyen,Internal Medicine,Philadelphia,PA,Subsys,REP-S743,Sean Tanaka,TERR-S05,3,4,5,4,5,8,10.5897,10471.94,5.8923,0.05244,11.2137,synthetic
2001000084,Dr. Mary Baker,Anesthesiology,Charlotte,NC,Abstral,REP-S583,Sean Nakamura,TERR-S13,1,4,13,10,6,23,11.7094,27356.74,7.0922,0.063295,12.5399,synthetic
2001000085,Dr. Mary Mitchell,Family Practice,Baltimore,MD,Abstral,REP-S677,Stanley Kowalski,TERR-S09,3,6,3,3,1,19,15.5126,34795.04,1.7693,0.016485,15.7871,synthetic
2001000086,Dr. Nancy Davis,Pain Management,Chicago,IL,Subsys,REP-S562,Sophia Kapoor,TERR-S06,2,5,8,6,6,22,13.0608,24430.13,5.7326,0.05188,13.8096,synthetic
2001000087,Dr. Jessica Gonzalez,Pain Management,Columbus,OH,Abstral,REP-S544,Sarah Chen,TERR-S02,1,9,10,9,2,15,26.4756,58729.81,6.6907,0.062479,28.247,synthetic
2001000088,Dr. Sarah Garcia,Internal Medicine,New York,NY,Abstral,REP-S794,Selena Gomez,TERR-S14,3,3,2,1,1,11,8.6217,8889.57,3.8244,0.033695,8.9514,synthetic
2001000089,Dr. Robert Miller,Oncology,Philadelphia,PA,Subsys,REP-S551,Silas Chen,TERR-S09,3,6,2,1,0,22,16.1992,35214.66,0.7805,0.007324,16.3257,synthetic
2001000090,Dr. Elizabeth Martinez,Neurology,Boston,MA,Actiq,REP-S738,Summer Santos,TERR-S14,3,5,2,1,2,16,12.833,18499.99,2.2629,0.020776,13.1234,synthetic
2001000091,Dr. Linda Robinson,Family Practice,Charlotte,NC,Abstral,REP-S648,Serena Dubois,TERR-S08,3,7,5,3,3,26,19.1791,19187.37,3.4377,0.032151,19.8385,synthetic
2001000092,Dr. Susan Scott,Pain Management,New York,NY,Actiq,REP-S789,Seth Gomez,TERR-S09,2,5,5,4,5,13,13.7947,34386.85,7.6765,0.069131,14.8536,synthetic
2001000093,Dr. Patricia Sanchez,Oncology,Houston,TX,Actiq,REP-S717,Stanley Rossi,TERR-S07,2,3,9,4,4,22,6.0725,8905.66,7.6632,0.063723,6.5379,synthetic
2001000094,Dr. Sandra Jones,Internal Medicine,Charlotte,NC,Actiq,REP-S609,Seth O'Connor,TERR-S11,3,3,4,3,3,21,7.7727,7989.82,4.4794,0.038921,8.1209,synthetic
2001000095,Dr. Linda Sanchez,Psychiatry,Nashville,TN,Fentora,REP-S819,Solomon Vargas,TERR-S11,3,8,2,1,1,17,22.5544,41224.53,-0.4149,-0.003981,22.4608,synthetic
2001000096,Dr. Elizabeth Lewis,Palliative Care,Houston,TX,Abstral,REP-S611,Silas O'Connor,TERR-S13,2,7,9,6,5,8,20.6506,18589.1,7.1942,0.066367,22.1362,synthetic
2001000097,Dr. James Harris,Pain Management,New York,NY,Abstral,REP-S804,Sarah Vargas,TERR-S10,3,7,4,3,4,17,19.6242,29502.62,5.5701,0.051643,20.7173,synthetic
2001000098,Dr. Thomas White,Anesthesiology,Detroit,MI,Subsys,REP-S748,Serena Tanaka,TERR-S10,3,3,4,3,2,14,8.7419,9888.95,3.8124,0.033639,9.0752,synthetic
2001000099,Dr. Jennifer Gonzalez,Anesthesiology,Portland,OR,Abstral,REP-S659,Solomon Dubois,TERR-S05,3,3,3,2,1,30,6.8815,15663.25,3.2325,0.027832,7.1039,synthetic
2001000100,Dr. Sharon Adams,Emergency Medicine,Las Vegas,NV,Fentora,REP-S776,Sasha Muller,TERR-S10,3,7,2,1,1,19,19.4331,34765.57,2.0774,0.019565,19.8368,synthetic
2001000101,Dr. Richard Perez,Anesthesiology,New York,NY,Actiq,REP-S512,Sienna Brooks,TERR-S12,1,5,14,5,6,23,13.7757,12574.02,6.2236,0.056403,14.633,synthetic
2001000102,Dr. David Rodriguez,Oncology,Phoenix,AZ,Subsys,REP-S645,Simon Dubois,TERR-S05,3,4,3,3,4,16,10.8241,16075.33,7.3834,0.065403,11.6233,synthetic
2001000103,Dr. Richard Mitchell,Pain Management,New York,NY,Lazanda,REP-S505,Simon Brooks,TERR-S05,2,5,8,7,4,13,14.831,37575.68,8.8854,0.079957,16.1488,synthetic
2001000104,Dr. James Gonzalez,Internal Medicine,Denver,CO,Subsys,REP-S847,Scott Kim,TERR-S11,3,10,2,1,1,20,27.8053,63515.75,2.0325,0.019429,28.3704,synthetic
2001000105,Dr. Sarah Martinez,Oncology,New York,NY,Lazanda,REP-S550,Sadie Chen,TERR-S08,2,5,5,3,3,10,13.3441,29439.22,6.4949,0.058666,14.2108,synthetic
2001000106,Dr. Sarah Lewis,Emergency Medicine,Denver,CO,Subsys,REP-S539,Solomon Patel,TERR-S11,3,4,3,3,2,19,9.0585,18398.19,2.1405,0.019094,9.2524,synthetic
2001000107,Dr. Kathleen Adams,Pain Management,Portland,OR,Abstral,REP-S501,Samuel Brooks,TERR-S01,2,5,6,4,4,7,12.0744,18815.56,4.1669,0.03776,12.5775,synthetic
2001000108,Dr. John Martinez,Palliative Care,Atlanta,GA,Abstral,REP-S524,Sarah Patel,TERR-S10,2,8,8,8,0,16,22.4561,20839.37,4.7262,0.044253,23.5174,synthetic
2001000109,Dr. Susan Lopez,Internal Medicine,Boston,MA,Lazanda,REP-S585,Simon Nakamura,TERR-S01,3,6,2,2,1,25,16.092,27847.86,2.1758,0.020278,16.4422,synthetic
2001000110,Dr. Sandra Perez,Palliative Care,Houston,TX,Subsys,REP-S821,Samuel Alvarez,TERR-S13,2,3,9,4,2,20,7.635,11817.13,6.4955,0.055844,8.131,synthetic
2001000111,Dr. Barbara Wright,Emergency Medicine,Houston,TX,Actiq,REP-S560,Sloan Chen,TERR-S04,3,2,2,1,0,14,5.8813,14925.92,-1.2692,-0.010907,5.8066,synthetic
2001000112,Dr. Lisa Adams,Pain Management,Phoenix,AZ,Fentora,REP-S633,Spencer Novak,TERR-S07,1,5,10,8,1,9,14.7819,34175.54,6.0122,0.054784,15.6706,synthetic
2001000113,Dr. Susan Hernandez,Palliative Care,Columbus,OH,Actiq,REP-S714,Selena Rossi,TERR-S04,2,1,9,8,1,31,1.983,2473.93,5.9146,0.038566,2.1003,synthetic
2001000114,Dr. Robert Moore,Oncology,Detroit,MI,Actiq,REP-S685,Simon Larsson,TERR-S03,1,7,12,8,7,11,19.0162,21207.89,7.3981,0.067925,20.423,synthetic
2001000115,Dr. Michael Baker,Internal Medicine,Jacksonville,FL,Fentora,REP-S830,Sadie Alvarez,TERR-S08,3,5,5,3,0,16,14.0767,19774.2,1.8274,0.016918,14.334,synthetic
2001000116,Dr. Richard Thompson,Pain Management,Charlotte,NC,Subsys,REP-S595,Stephen Nakamura,TERR-S11,3,4,4,3,2,20,10.841,23657.08,5.539,0.049468,11.4414,synthetic
2001000117,Dr. Patricia Jackson,Oncology,Houston,TX,Subsys,REP-S565,Simon Kapoor,TERR-S09,3,3,4,3,2,16,7.9489,10802.92,3.8054,0.033243,8.2514,synthetic
2001000118,Dr. Joseph King,Oncology,Seattle,WA,Subsys,REP-S743,Sean Tanaka,TERR-S05,3,4,4,2,1,30,11.7936,20583.25,2.5347,0.023097,12.0925,synthetic
2001000119,Dr. Sarah Lopez,Oncology,Houston,TX,Actiq,REP-S679,Solomon Kowalski,TERR-S11,3,7,3,2,0,14,18.2672,30810.83,2.6137,0.024479,18.7446,synthetic
2001000120,Dr. Rebecca Allen,Neurology,Austin,TX,Abstral,REP-S849,Seth Kim,TERR-S13,2,6,7,5,5,21,16.8591,23616.97,5.3544,0.04931,17.7618,synthetic
2001000121,Dr. Barbara Sanchez,Neurology,Los Angeles,CA,Subsys,REP-S544,Sarah Chen,TERR-S02,2,5,7,5,0,17,14.2299,18249.12,2.8955,0.026694,14.6419,synthetic
2001000122,Dr. Michael Torres,Anesthesiology,Columbus,OH,Abstral,REP-S736,Sasha Santos,TERR-S12,2,6,5,2,3,18,17.5396,15567.96,3.6191,0.033666,18.1744,synthetic
2001000123,Dr. Melissa King,Palliative Care,New York,NY,Actiq,REP-S844,Sarah Kim,TERR-S08,2,10,8,7,2,16,37.9387,67359.39,6.1616,0.058301,40.2763,synthetic
2001000124,Dr. Richard Williams,Palliative Care,Nashville,TN,Actiq,REP-S522,Sophia Patel,TERR-S08,3,5,3,2,1,12,14.0222,33932.09,4.6489,0.042479,14.674,synthetic
2001000125,Dr. Elizabeth Green,Oncology,Phoenix,AZ,Fentora,REP-S560,Sloan Chen,TERR-S04,2,4,7,5,3,12,11.216,29116.62,7.146,0.063548,12.0175,synthetic
2001000126,Dr. Nancy Hall,Anesthesiology,Austin,TX,Abstral,REP-S635,Stephen Novak,TERR-S09,3,5,2,2,3,14,13.0209,16461.91,3.6112,0.032987,13.4911,synthetic
2001000127,Dr. Thomas Jones,Oncology,Columbus,OH,Subsys,REP-S711,Silas Rossi,TERR-S01,2,4,8,7,1,20,11.4058,21700.99,4.895,0.044021,11.9642,synthetic
2001000128,Dr. Thomas Campbell,Pain Management,Miami,FL,Actiq,REP-S573,Spencer Kapoor,TERR-S03,1,2,11,8,2,28,4.2026,7076.06,6.13,0.048331,4.4602,synthetic
2001000129,Dr. Richard Adams,Pain Management,Portland,OR,Subsys,REP-S831,Silas Alvarez,TERR-S09,3,7,2,1,1,22,20.035,27372.14,4.3923,0.040983,20.915,synthetic
2001000130,Dr. Melissa Torres,Oncology,Detroit,MI,Fentora,REP-S544,Sarah Chen,TERR-S02,1,10,10,9,6,14,28.0621,63069.08,10.1662,0.093639,30.9149,synthetic
2001000131,Dr. Michael Rivera,Internal Medicine,Los Angeles,CA,Subsys,REP-S616,Sasha O'Connor,TERR-S04,3,5,4,3,4,20,13.4093,34111.16,4.233,0.038637,13.9769,synthetic
2001000132,Dr. James Rodriguez,Palliative Care,Nashville,TN,Lazanda,REP-S703,Sean Rossi,TERR-S07,2,10,5,2,2,15,37.3832,81558.67,2.8031,0.026934,38.431,synthetic
2001000133,Dr. Sandra Nguyen,Oncology,Nashville,TN,Actiq,REP-S680,Sloan Kowalski,TERR-S12,1,7,9,5,4,13,19.0504,36790.61,8.3004,0.075909,20.6317,synthetic
2001000134,Dr. Ashley Allen,Neurology,Los Angeles,CA,Lazanda,REP-S638,Summer Novak,TERR-S12,2,3,6,3,1,10,6.816,6370.17,3.6986,0.031745,7.0681,synthetic
2001000135,Dr. Robert Sanchez,Pain Management,Houston,TX,Subsys,REP-S527,Scott Patel,TERR-S13,1,6,12,9,4,17,15.3027,21466.07,7.8354,0.070969,16.5018,synthetic
2001000136,Dr. Barbara Martinez,Pain Management,Portland,OR,Actiq,REP-S849,Seth Kim,TERR-S13,2,4,8,6,3,17,10.6,9131.22,7.77,0.068594,11.4236,synthetic
